Disease,Treatment,Diagnosis,Symptoms,Disease_NER,Treatment_NER,Diagnosis_NER,Symptoms_NER
Gram Negative Infection,"Antibiotics (ceftriaxone 1 g IV), fluids","Culture (e.g., E. coli), Gram stain, labs","Fever, sepsis, sitespecific (e.g., UTI), shock","[{'text': 'Gram Negative Infection', 'label': 'ENTITY', 'umls_cui': 'C0085423', 'umls_score': 0.8043740391731262}]","[{'text': 'Antibiotics', 'label': 'ENTITY', 'umls_cui': 'C0003232', 'umls_score': 0.9689207077026367}, {'text': 'ceftriaxone', 'label': 'ENTITY', 'umls_cui': 'C0007561', 'umls_score': 0.9359742999076843}, {'text': 'fluids', 'label': 'ENTITY', 'umls_cui': 'C0302908', 'umls_score': 0.9909955263137817}]","[{'text': 'Culture', 'label': 'ENTITY', 'umls_cui': 'C0010453', 'umls_score': 0.976164698600769}, {'text': 'E. coli', 'label': 'ENTITY', 'umls_cui': 'C0014834', 'umls_score': 0.9512033462524414}, {'text': 'Gram stain', 'label': 'ENTITY', 'umls_cui': 'C0061856', 'umls_score': 0.987805187702179}, {'text': 'labs', 'label': 'ENTITY', 'umls_cui': 'C0587081', 'umls_score': 0.986388087272644}]","[{'text': 'Fever', 'label': 'ENTITY', 'umls_cui': 'C0015967', 'umls_score': 0.9616571664810181}, {'text': 'sepsis', 'label': 'ENTITY', 'umls_cui': 'C0036690', 'umls_score': 0.971335232257843}, {'text': 'sitespecific', 'label': 'ENTITY', 'umls_cui': 'C0205369', 'umls_score': 0.7426486611366272}, {'text': 'UTI', 'label': 'ENTITY', 'umls_cui': 'C0042029', 'umls_score': 0.9899987578392029}, {'text': 'shock', 'label': 'ENTITY', 'umls_cui': 'C0036974', 'umls_score': 0.9978643655776978}]"
Generalized Pustular Psoriasis,"Acitretin (25 mg daily), cyclosporine (3 mg/kg)","Clinical (von Zumbusch), biopsy, labs (WBC)","Widespread pustules, fever, skin redness","[{'text': 'Generalized Pustular Psoriasis', 'label': 'ENTITY', 'umls_cui': 'C0343055', 'umls_score': 0.9756681323051453}]","[{'text': 'Acitretin', 'label': 'ENTITY', 'umls_cui': 'C0050559', 'umls_score': 0.9843695163726807}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}, {'text': 'cyclosporine', 'label': 'ENTITY', 'umls_cui': 'C0010592', 'umls_score': 0.9872411489486694}]","[{'text': 'Clinical (von Zumbusch', 'label': 'ENTITY'}, {'text': 'biopsy', 'label': 'ENTITY', 'umls_cui': 'C0005558', 'umls_score': 0.9729230999946594}, {'text': 'labs', 'label': 'ENTITY', 'umls_cui': 'C0587081', 'umls_score': 0.986388087272644}, {'text': 'WBC', 'label': 'ENTITY', 'umls_cui': 'C0023516', 'umls_score': 0.9993834495544434}]","[{'text': 'Widespread pustules', 'label': 'ENTITY', 'umls_cui': 'C0205391', 'umls_score': 0.7235738635063171}, {'text': 'fever', 'label': 'ENTITY', 'umls_cui': 'C0015967', 'umls_score': 0.9616571664810181}, {'text': 'skin redness', 'label': 'ENTITY', 'umls_cui': 'C0041834', 'umls_score': 0.9703197479248047}]"
Alcohol Poisoning,"IV fluids, thiamine (100 mg IV), monitor airway","Blood alcohol (>300 mg/dL), clinical, glucose","Confusion, vomiting, hypothermia, respiratory depression","[{'text': 'Alcohol Poisoning', 'label': 'ENTITY', 'umls_cui': 'C0392620', 'umls_score': 0.9785158634185791}]","[{'text': 'thiamine', 'label': 'ENTITY', 'umls_cui': 'C0039840', 'umls_score': 0.9723896384239197}, {'text': 'monitor airway', 'label': 'ENTITY', 'umls_cui': 'C0182378', 'umls_score': 0.7620480060577393}]","[{'text': 'Blood alcohol', 'label': 'ENTITY', 'umls_cui': 'C1167994', 'umls_score': 0.9919178485870361}, {'text': 'clinical', 'label': 'ENTITY', 'umls_cui': 'C0205210', 'umls_score': 0.977976381778717}, {'text': 'glucose', 'label': 'ENTITY', 'umls_cui': 'C0017725', 'umls_score': 0.9921190142631531}]","[{'text': 'Confusion', 'label': 'ENTITY', 'umls_cui': 'C0009676', 'umls_score': 0.9526641964912415}, {'text': 'vomiting', 'label': 'ENTITY', 'umls_cui': 'C0042963', 'umls_score': 0.9573907256126404}, {'text': 'hypothermia', 'label': 'ENTITY', 'umls_cui': 'C0020672', 'umls_score': 0.9877012372016907}, {'text': 'respiratory depression', 'label': 'ENTITY', 'umls_cui': 'C0235063', 'umls_score': 0.9798824787139893}]"
Decubitus Ulcer,"Wound care, offloading, antibiotics (if infected)","Clinical (staging IIV), culture (if infected)","Pressure sores, pain, infection risk, immobility","[{'text': 'Decubitus Ulcer', 'label': 'ENTITY', 'umls_cui': 'C0011127', 'umls_score': 0.9667792320251465}]","[{'text': 'Wound care', 'label': 'ENTITY', 'umls_cui': 'C0886052', 'umls_score': 0.975871741771698}, {'text': 'offloading', 'label': 'ENTITY'}, {'text': 'antibiotics', 'label': 'ENTITY', 'umls_cui': 'C0003232', 'umls_score': 0.9689207077026367}, {'text': 'infected', 'label': 'ENTITY', 'umls_cui': 'C0439663', 'umls_score': 0.9799171090126038}]","[{'text': 'Clinical (staging IIV', 'label': 'ENTITY'}, {'text': 'culture', 'label': 'ENTITY', 'umls_cui': 'C0010453', 'umls_score': 0.976164698600769}, {'text': 'infected', 'label': 'ENTITY', 'umls_cui': 'C0439663', 'umls_score': 0.9799171090126038}]","[{'text': 'Pressure sores', 'label': 'ENTITY', 'umls_cui': 'C0011127', 'umls_score': 0.9924889206886292}, {'text': 'pain', 'label': 'ENTITY', 'umls_cui': 'C0030193', 'umls_score': 0.9754149913787842}, {'text': 'infection risk', 'label': 'ENTITY', 'umls_cui': 'C0582147', 'umls_score': 0.9529598951339722}, {'text': 'immobility', 'label': 'ENTITY', 'umls_cui': 'C0231441', 'umls_score': 0.9909637570381165}]"
MPS IV (Mucopolysaccharidosis Type IV),"Elosulfase alfa (2 mg/kg IV weekly), supportive","Urine GAGs (keratan sulfate), enzyme assay (GALNS)","Skeletal dysplasia, joint stiffness, short stature","[{'text': 'MPS IV', 'label': 'ENTITY', 'umls_cui': 'C0086651', 'umls_score': 0.9949535727500916}, {'text': 'Mucopolysaccharidosis Type IV', 'label': 'ENTITY', 'umls_cui': 'C0026707', 'umls_score': 0.985865592956543}]","[{'text': 'Elosulfase alfa', 'label': 'ENTITY', 'umls_cui': 'C3817397', 'umls_score': 0.9840047359466553}]","[{'text': 'Urine', 'label': 'ENTITY', 'umls_cui': 'C0042036', 'umls_score': 0.9818705320358276}, {'text': 'GAGs', 'label': 'ENTITY', 'umls_cui': 'C0181001', 'umls_score': 0.9740998148918152}, {'text': 'keratan sulfate', 'label': 'ENTITY', 'umls_cui': 'C0022563', 'umls_score': 0.9754129648208618}, {'text': 'enzyme assay', 'label': 'ENTITY', 'umls_cui': 'C2717977', 'umls_score': 0.9859994053840637}, {'text': 'GALNS', 'label': 'ENTITY'}]","[{'text': 'Skeletal dysplasia', 'label': 'ENTITY', 'umls_cui': 'C0410528', 'umls_score': 0.9717830419540405}, {'text': 'joint stiffness', 'label': 'ENTITY', 'umls_cui': 'C0162298', 'umls_score': 0.9500554203987122}, {'text': 'short stature', 'label': 'ENTITY', 'umls_cui': 'C0013336', 'umls_score': 0.9918065071105957}]"
Auditory Processing Disorder (APD),"Auditory training, FM systems, accommodations","Audiology testing (APD battery), clinical history","Difficulty hearing in noise, delayed responses","[{'text': 'Auditory Processing Disorder', 'label': 'ENTITY', 'umls_cui': 'C0004310', 'umls_score': 0.9800829291343689}, {'text': 'APD', 'label': 'ENTITY', 'umls_cui': 'C0043603', 'umls_score': 0.9601783156394958}]","[{'text': 'Auditory training', 'label': 'ENTITY', 'umls_cui': 'C0184007', 'umls_score': 0.7479666471481323}, {'text': 'FM systems', 'label': 'ENTITY', 'umls_cui': 'C4730200', 'umls_score': 0.9550655484199524}, {'text': 'accommodations', 'label': 'ENTITY', 'umls_cui': 'C0000936', 'umls_score': 0.9653359651565552}]","[{'text': 'Audiology testing', 'label': 'ENTITY', 'umls_cui': 'C0004285', 'umls_score': 0.7437852025032043}, {'text': 'APD battery', 'label': 'ENTITY', 'umls_cui': 'C0337088', 'umls_score': 0.8141470551490784}, {'text': 'clinical history', 'label': 'ENTITY', 'umls_cui': 'C5204342', 'umls_score': 0.9843454957008362}]","[{'text': 'Difficulty hearing', 'label': 'ENTITY', 'umls_cui': 'C0018772', 'umls_score': 0.9762659072875977}, {'text': 'noise', 'label': 'ENTITY', 'umls_cui': 'C0028263', 'umls_score': 0.9758263230323792}, {'text': 'delayed responses', 'label': 'ENTITY', 'umls_cui': 'C0871261', 'umls_score': 0.737200140953064}]"
Patellar Tendinitis,"Rest, eccentric exercises, NSAIDs (ibuprofen 400 mg)","Clinical (patellar tenderness), ultrasound, Xray","Knee pain, tenderness, worse with jumping","[{'text': 'Patellar Tendinitis', 'label': 'ENTITY', 'umls_cui': 'C0158317', 'umls_score': 0.9951037764549255}]","[{'text': 'Rest', 'label': 'ENTITY', 'umls_cui': 'C0035253', 'umls_score': 0.9951050877571106}, {'text': 'eccentric exercises', 'label': 'ENTITY'}, {'text': 'NSAIDs', 'label': 'ENTITY', 'umls_cui': 'C0003211', 'umls_score': 0.9969343543052673}, {'text': 'ibuprofen', 'label': 'ENTITY', 'umls_cui': 'C0020740', 'umls_score': 0.9725996851921082}]","[{'text': 'Clinical', 'label': 'ENTITY', 'umls_cui': 'C0205210', 'umls_score': 0.977976381778717}, {'text': 'patellar tenderness', 'label': 'ENTITY', 'umls_cui': 'C0234233', 'umls_score': 0.738343358039856}, {'text': 'ultrasound', 'label': 'ENTITY', 'umls_cui': 'C0041618', 'umls_score': 0.9832558631896973}]","[{'text': 'Knee pain', 'label': 'ENTITY', 'umls_cui': 'C0231749', 'umls_score': 0.9724318385124207}, {'text': 'tenderness', 'label': 'ENTITY', 'umls_cui': 'C0234233', 'umls_score': 0.9905914664268494}, {'text': 'jumping', 'label': 'ENTITY', 'umls_cui': 'C1257902', 'umls_score': 0.8626601099967957}]"
PMT (Premenstrual Syndrome),"SSRIs (fluoxetine 20 mg), OCP, lifestyle changes","Symptom diary, clinical history, rule out PMDD","Bloating, mood swings, fatigue, premenstrual","[{'text': 'PMT', 'label': 'ENTITY', 'umls_cui': 'C0376356', 'umls_score': 0.9928551912307739}, {'text': 'Premenstrual Syndrome', 'label': 'ENTITY', 'umls_cui': 'C0033046', 'umls_score': 0.9681645631790161}]","[{'text': 'SSRIs', 'label': 'ENTITY', 'umls_cui': 'C0360105', 'umls_score': 0.9438421726226807}, {'text': 'fluoxetine', 'label': 'ENTITY', 'umls_cui': 'C0016365', 'umls_score': 0.9439778327941895}, {'text': 'OCP', 'label': 'ENTITY', 'umls_cui': 'C1282359', 'umls_score': 0.9706353545188904}, {'text': 'lifestyle', 'label': 'ENTITY', 'umls_cui': 'C0023676', 'umls_score': 0.9781678318977356}, {'text': 'changes', 'label': 'ENTITY', 'umls_cui': 'C0392747', 'umls_score': 0.9851773381233215}]","[{'text': 'Symptom diary', 'label': 'ENTITY', 'umls_cui': 'C1457887', 'umls_score': 0.7527182102203369}, {'text': 'clinical history', 'label': 'ENTITY', 'umls_cui': 'C5204342', 'umls_score': 0.9843454957008362}, {'text': 'PMDD', 'label': 'ENTITY', 'umls_cui': 'C0520676', 'umls_score': 0.9901118278503418}]","[{'text': 'Bloating', 'label': 'ENTITY', 'umls_cui': 'C0000731', 'umls_score': 0.9594429135322571}, {'text': 'mood swings', 'label': 'ENTITY', 'umls_cui': 'C0085633', 'umls_score': 0.9737966656684875}, {'text': 'fatigue', 'label': 'ENTITY', 'umls_cui': 'C0015672', 'umls_score': 0.9711542725563049}, {'text': 'premenstrual', 'label': 'ENTITY', 'umls_cui': 'C0443282', 'umls_score': 0.9525379538536072}]"
Fibrocystic Breast Disease,"Pain relief (ibuprofen 400 mg), vitamin E (400 IU)","Ultrasound (cysts), mammogram, biopsy (if unclear)","Breast pain, lumps, cyclic changes","[{'text': 'Fibrocystic Breast Disease', 'label': 'ENTITY', 'umls_cui': 'C0016034', 'umls_score': 0.9862748980522156}]","[{'text': 'Pain relief', 'label': 'ENTITY', 'umls_cui': 'C0451615', 'umls_score': 0.959702730178833}, {'text': 'ibuprofen', 'label': 'ENTITY', 'umls_cui': 'C0020740', 'umls_score': 0.9725996851921082}, {'text': 'vitamin E', 'label': 'ENTITY', 'umls_cui': 'C0042874', 'umls_score': 0.9777234792709351}, {'text': 'IU', 'label': 'ENTITY', 'umls_cui': 'C0042166', 'umls_score': 0.9996464848518372}]","[{'text': 'Ultrasound (cysts', 'label': 'ENTITY', 'umls_cui': 'C0041618', 'umls_score': 0.786401629447937}, {'text': 'mammogram', 'label': 'ENTITY', 'umls_cui': 'C0024671', 'umls_score': 0.9884366989135742}, {'text': 'biopsy', 'label': 'ENTITY', 'umls_cui': 'C0005558', 'umls_score': 0.9729230999946594}]","[{'text': 'Breast pain', 'label': 'ENTITY', 'umls_cui': 'C0024902', 'umls_score': 0.985582709312439}, {'text': 'lumps', 'label': 'ENTITY', 'umls_cui': 'C0577559', 'umls_score': 0.985767126083374}, {'text': 'cyclic changes', 'label': 'ENTITY', 'umls_cui': 'C0392747', 'umls_score': 0.7229225039482117}]"
Enterobiasis,"Mebendazole (100 mg single dose), hygiene","Tape test (Enterobius eggs), clinical history","Anal itching, insomnia, pinworm visibility","[{'text': 'Enterobiasis', 'label': 'ENTITY', 'umls_cui': 'C0086227', 'umls_score': 0.9739090800285339}]","[{'text': 'Mebendazole', 'label': 'ENTITY', 'umls_cui': 'C0025023', 'umls_score': 0.9622671008110046}, {'text': 'single dose', 'label': 'ENTITY', 'umls_cui': 'C1710088', 'umls_score': 0.8483272790908813}, {'text': 'hygiene', 'label': 'ENTITY', 'umls_cui': 'C0020405', 'umls_score': 0.9476735591888428}]","[{'text': 'Tape test', 'label': 'ENTITY', 'umls_cui': 'C0022885', 'umls_score': 0.7066922783851624}, {'text': 'Enterobius eggs', 'label': 'ENTITY', 'umls_cui': 'C0162364', 'umls_score': 0.8210093975067139}, {'text': 'clinical history', 'label': 'ENTITY', 'umls_cui': 'C5204342', 'umls_score': 0.9843454957008362}]","[{'text': 'Anal itching', 'label': 'ENTITY', 'umls_cui': 'C0033775', 'umls_score': 0.9457252025604248}, {'text': 'insomnia', 'label': 'ENTITY', 'umls_cui': 'C0917801', 'umls_score': 0.9511995911598206}]"
Dry Mouth,"Saliva substitutes, pilocarpine (5 mg 3x daily)","Clinical exam, salivary flow test, rule out Sjögren’s","Dryness, sticky saliva, taste changes","[{'text': 'Dry', 'label': 'ENTITY', 'umls_cui': 'C0011682', 'umls_score': 0.9664229154586792}]","[{'text': 'Saliva substitutes', 'label': 'ENTITY', 'umls_cui': 'C0036088', 'umls_score': 0.9868137240409851}, {'text': 'pilocarpine', 'label': 'ENTITY', 'umls_cui': 'C0031923', 'umls_score': 0.9736372232437134}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}]","[{'text': 'Clinical exam', 'label': 'ENTITY', 'umls_cui': 'C0205210', 'umls_score': 0.7985143661499023}, {'text': 'salivary flow test', 'label': 'ENTITY'}, {'text': 'Sjögren’s', 'label': 'ENTITY', 'umls_cui': 'C1527336', 'umls_score': 0.8199991583824158}]","[{'text': 'Dryness', 'label': 'ENTITY', 'umls_cui': 'C1512080', 'umls_score': 0.9833777546882629}, {'text': 'sticky saliva', 'label': 'ENTITY', 'umls_cui': 'C4526747', 'umls_score': 0.8340799808502197}, {'text': 'taste changes', 'label': 'ENTITY', 'umls_cui': 'C0392747', 'umls_score': 0.7524415850639343}]"
Chronic Otitis Media,"Antibiotic drops (ciprofloxacin), surgery (tympanoplasty)","Otoscopy (perforation), culture, CT (if mastoiditis)","Ear discharge, hearing loss, pain","[{'text': 'Chronic Otitis Media', 'label': 'ENTITY', 'umls_cui': 'C0271441', 'umls_score': 0.9886966943740845}]","[{'text': 'Antibiotic drops', 'label': 'ENTITY', 'umls_cui': 'C0003232', 'umls_score': 0.7954113483428955}, {'text': 'ciprofloxacin', 'label': 'ENTITY', 'umls_cui': 'C0008809', 'umls_score': 0.9688829183578491}, {'text': 'surgery', 'label': 'ENTITY', 'umls_cui': 'C0038894', 'umls_score': 0.9868206977844238}, {'text': 'tympanoplasty', 'label': 'ENTITY', 'umls_cui': 'C0041447', 'umls_score': 0.980697512626648}]","[{'text': 'Otoscopy', 'label': 'ENTITY', 'umls_cui': 'C0847244', 'umls_score': 0.9953088760375977}, {'text': 'perforation', 'label': 'ENTITY', 'umls_cui': 'C0549099', 'umls_score': 0.952422022819519}, {'text': 'culture', 'label': 'ENTITY', 'umls_cui': 'C0010453', 'umls_score': 0.976164698600769}, {'text': 'CT', 'label': 'ENTITY', 'umls_cui': 'C0009778', 'umls_score': 0.9904136657714844}, {'text': 'mastoiditis', 'label': 'ENTITY', 'umls_cui': 'C0024904', 'umls_score': 0.9829001426696777}]","[{'text': 'Ear discharge', 'label': 'ENTITY', 'umls_cui': 'C0155540', 'umls_score': 0.9901942610740662}, {'text': 'hearing loss', 'label': 'ENTITY', 'umls_cui': 'C0011053', 'umls_score': 0.9876301884651184}, {'text': 'pain', 'label': 'ENTITY', 'umls_cui': 'C0030193', 'umls_score': 0.9754149913787842}]"
Chronic Rhinitis (PostNasal Drip),"Nasal steroids (fluticasone), antihistamines","Clinical exam, allergy testing, sinus CT","Nasal congestion, drip, cough, throat clearing","[{'text': 'Chronic Rhinitis', 'label': 'ENTITY', 'umls_cui': 'C0008711', 'umls_score': 0.9893947243690491}, {'text': 'PostNasal Drip', 'label': 'ENTITY', 'umls_cui': 'C0032781', 'umls_score': 0.9572585225105286}]","[{'text': 'Nasal steroids', 'label': 'ENTITY', 'umls_cui': 'C0038317', 'umls_score': 0.7594267725944519}, {'text': 'fluticasone', 'label': 'ENTITY', 'umls_cui': 'C0082607', 'umls_score': 0.9804149866104126}]","[{'text': 'Clinical exam', 'label': 'ENTITY', 'umls_cui': 'C0205210', 'umls_score': 0.7985143661499023}, {'text': 'allergy testing', 'label': 'ENTITY', 'umls_cui': 'C0199747', 'umls_score': 0.9843176603317261}, {'text': 'sinus', 'label': 'ENTITY', 'umls_cui': 'C0016169', 'umls_score': 0.980830729007721}]","[{'text': 'Nasal congestion', 'label': 'ENTITY', 'umls_cui': 'C0027424', 'umls_score': 0.9665037989616394}, {'text': 'drip', 'label': 'ENTITY', 'umls_cui': 'C1260880', 'umls_score': 0.7950068116188049}, {'text': 'cough', 'label': 'ENTITY', 'umls_cui': 'C0010200', 'umls_score': 0.9633718132972717}, {'text': 'throat clearing', 'label': 'ENTITY', 'umls_cui': 'C0234771', 'umls_score': 0.9902535676956177}]"
Cardiogenic Shock,"Inotropes (dobutamine 5 mcg/kg/min), revascularization","Echo (low EF), lactate (>2 mmol/L), cath","Hypotension, dyspnea, cold extremities, oliguria","[{'text': 'Cardiogenic Shock', 'label': 'ENTITY', 'umls_cui': 'C0036980', 'umls_score': 0.9833598136901855}]","[{'text': 'Inotropes', 'label': 'ENTITY'}, {'text': 'dobutamine', 'label': 'ENTITY', 'umls_cui': 'C0012963', 'umls_score': 0.9758016467094421}, {'text': 'revascularization', 'label': 'ENTITY', 'umls_cui': 'C0581603', 'umls_score': 0.9615077972412109}]","[{'text': 'Echo', 'label': 'ENTITY', 'umls_cui': 'C0058928', 'umls_score': 0.9836705923080444}, {'text': 'lactate', 'label': 'ENTITY', 'umls_cui': 'C0022924', 'umls_score': 0.9893156886100769}]","[{'text': 'Hypotension', 'label': 'ENTITY', 'umls_cui': 'C0020649', 'umls_score': 0.975321888923645}, {'text': 'dyspnea', 'label': 'ENTITY', 'umls_cui': 'C0013404', 'umls_score': 0.9835606217384338}, {'text': 'cold extremities', 'label': 'ENTITY', 'umls_cui': 'C0277925', 'umls_score': 0.9900675415992737}, {'text': 'oliguria', 'label': 'ENTITY', 'umls_cui': 'C0028961', 'umls_score': 0.966163158416748}]"
Cerebellar Degeneration,"Physical therapy, treat cause (e.g., alcohol cessation)","MRI (cerebellar atrophy), genetic (e.g., SCA), neuro exam","Ataxia, dysarthria, tremor, balance issues","[{'text': 'Cerebellar Degeneration', 'label': 'ENTITY', 'umls_cui': 'C0262404', 'umls_score': 0.9625151753425598}]","[{'text': 'Physical therapy', 'label': 'ENTITY', 'umls_cui': 'C0699718', 'umls_score': 0.9791001081466675}, {'text': 'treat', 'label': 'ENTITY', 'umls_cui': 'C1292734', 'umls_score': 0.9973037838935852}, {'text': 'cause', 'label': 'ENTITY', 'umls_cui': 'C0015127', 'umls_score': 0.9771540760993958}, {'text': 'alcohol cessation', 'label': 'ENTITY', 'umls_cui': 'C1880019', 'umls_score': 0.7185648083686829}]","[{'text': 'MRI', 'label': 'ENTITY', 'umls_cui': 'C0024485', 'umls_score': 0.9940130114555359}, {'text': 'cerebellar atrophy', 'label': 'ENTITY', 'umls_cui': 'C0740279', 'umls_score': 0.9844787120819092}, {'text': 'genetic', 'label': 'ENTITY', 'umls_cui': 'C0314603', 'umls_score': 0.9858194589614868}, {'text': 'SCA', 'label': 'ENTITY', 'umls_cui': 'C0018790', 'umls_score': 0.9973830580711365}, {'text': 'neuro exam', 'label': 'ENTITY', 'umls_cui': 'C0027855', 'umls_score': 0.7353004217147827}]","[{'text': 'Ataxia', 'label': 'ENTITY', 'umls_cui': 'C0004134', 'umls_score': 0.9736708402633667}, {'text': 'dysarthria', 'label': 'ENTITY', 'umls_cui': 'C0013362', 'umls_score': 0.9800443053245544}, {'text': 'tremor', 'label': 'ENTITY', 'umls_cui': 'C0040822', 'umls_score': 0.9931923747062683}, {'text': 'balance issues', 'label': 'ENTITY', 'umls_cui': 'C0014653', 'umls_score': 0.7248924970626831}]"
"Meningitis, Meningococcal","Ceftriaxone (2 g IV every 12 hrs), prophylaxis (rifampin)","CSF (Gramnegative diplococci), blood culture","Fever, headache, stiff neck, rash","[{'text': 'Meningitis', 'label': 'ENTITY', 'umls_cui': 'C0025289', 'umls_score': 0.975932240486145}, {'text': 'Meningococcal', 'label': 'ENTITY', 'umls_cui': 'C0521018', 'umls_score': 0.9542538523674011}]","[{'text': 'Ceftriaxone', 'label': 'ENTITY', 'umls_cui': 'C0007561', 'umls_score': 0.9359742999076843}, {'text': 'prophylaxis', 'label': 'ENTITY', 'umls_cui': 'C0033107', 'umls_score': 0.9599927067756653}, {'text': 'rifampin', 'label': 'ENTITY', 'umls_cui': 'C0035608', 'umls_score': 0.967027485370636}]","[{'text': 'CSF', 'label': 'ENTITY', 'umls_cui': 'C0007806', 'umls_score': 0.9988160133361816}, {'text': 'Gramnegative diplococci', 'label': 'ENTITY', 'umls_cui': 'C0314754', 'umls_score': 0.7261181473731995}, {'text': 'blood culture', 'label': 'ENTITY', 'umls_cui': 'C0200949', 'umls_score': 0.9858720302581787}]","[{'text': 'Fever', 'label': 'ENTITY', 'umls_cui': 'C0015967', 'umls_score': 0.9616571664810181}, {'text': 'headache', 'label': 'ENTITY', 'umls_cui': 'C0018681', 'umls_score': 0.9900735020637512}, {'text': 'stiff neck', 'label': 'ENTITY', 'umls_cui': 'C0151315', 'umls_score': 0.9762592315673828}, {'text': 'rash', 'label': 'ENTITY', 'umls_cui': 'C0015230', 'umls_score': 0.9840058088302612}]"
High Blood Pressure,"Lisinopril (20 mg daily), lifestyle changes","BP (>130/80 mmHg), ambulatory monitoring","Often asymptomatic, headache, dizziness","[{'text': 'High', 'label': 'ENTITY', 'umls_cui': 'C0205250', 'umls_score': 0.9880231022834778}, {'text': 'Blood Pressure', 'label': 'ENTITY', 'umls_cui': 'C0005823', 'umls_score': 0.9879373908042908}]","[{'text': 'Lisinopril', 'label': 'ENTITY', 'umls_cui': 'C0065374', 'umls_score': 0.9932959675788879}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}, {'text': 'lifestyle changes', 'label': 'ENTITY', 'umls_cui': 'C0870811', 'umls_score': 0.9783875942230225}]","[{'text': 'BP', 'label': 'ENTITY', 'umls_cui': 'C0005824', 'umls_score': 0.9979794025421143}, {'text': 'ambulatory monitoring', 'label': 'ENTITY', 'umls_cui': 'C0242882', 'umls_score': 0.9807060360908508}]","[{'text': 'Often', 'label': 'ENTITY', 'umls_cui': 'C0332183', 'umls_score': 0.9524219632148743}, {'text': 'asymptomatic', 'label': 'ENTITY', 'umls_cui': 'C0231221', 'umls_score': 0.9688202142715454}, {'text': 'headache', 'label': 'ENTITY', 'umls_cui': 'C0018681', 'umls_score': 0.9900735020637512}, {'text': 'dizziness', 'label': 'ENTITY', 'umls_cui': 'C0012833', 'umls_score': 0.9417304992675781}]"
Tuberculous Esophagitis,"RIPE therapy (rifampin 600 mg), PPI","Endoscopy (ulcers), biopsy (AFB), sputum culture","Dysphagia, chest pain, weight loss, TB history","[{'text': 'Tuberculous Esophagitis', 'label': 'ENTITY', 'umls_cui': 'C0041318', 'umls_score': 0.7108833193778992}]","[{'text': 'RIPE therapy', 'label': 'ENTITY', 'umls_cui': 'C0039798', 'umls_score': 0.784950852394104}, {'text': 'rifampin', 'label': 'ENTITY', 'umls_cui': 'C0035608', 'umls_score': 0.967027485370636}, {'text': 'PPI', 'label': 'ENTITY', 'umls_cui': 'C0871125', 'umls_score': 0.9996368288993835}]","[{'text': 'Endoscopy', 'label': 'ENTITY', 'umls_cui': 'C0014245', 'umls_score': 0.9926842451095581}, {'text': 'ulcers', 'label': 'ENTITY', 'umls_cui': 'C0041582', 'umls_score': 0.9872905611991882}, {'text': 'biopsy', 'label': 'ENTITY', 'umls_cui': 'C0005558', 'umls_score': 0.9729230999946594}, {'text': 'AFB', 'label': 'ENTITY', 'umls_cui': 'C0483226', 'umls_score': 0.9764230847358704}, {'text': 'sputum culture', 'label': 'ENTITY', 'umls_cui': 'C0523174', 'umls_score': 0.9554357528686523}]","[{'text': 'Dysphagia', 'label': 'ENTITY', 'umls_cui': 'C0011168', 'umls_score': 0.980331540107727}, {'text': 'chest pain', 'label': 'ENTITY', 'umls_cui': 'C0008031', 'umls_score': 0.9849169850349426}, {'text': 'weight loss', 'label': 'ENTITY', 'umls_cui': 'C1262477', 'umls_score': 0.9807811379432678}, {'text': 'TB history', 'label': 'ENTITY', 'umls_cui': 'C0019664', 'umls_score': 0.8768706321716309}]"
